"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significant"
"Zfhx4",503.198357759729,-5.09245378389579,0.726546347069945,-7.00912447558633,2.39814031579663e-12,2.89431554713496e-08,"Yes"
"Adgrg3",126.418247242627,-4.50486229562393,1.05140833988632,-4.28459821434459,1.83069724388597e-05,0.0138091781477874,"Yes"
"Csgalnact1",105.070872518134,-4.23950328032714,0.794206062801185,-5.33803943195082,9.39570277912756e-08,0.000377989122804302,"Yes"
"Gabre",82.6650178231847,-4.205713545037,0.994774580286191,-4.22780560378517,2.3598153648796e-05,0.0167533009639599,"Yes"
"Peg3",122.842876973482,-4.1151892599719,0.646727416881381,-6.36309695948252,1.97725783281311e-10,1.19317623921107e-06,"Yes"
"Gsta4",267.54322814815,-3.85132470012734,0.893036235760016,-4.31261862162814,1.61332273438243e-05,0.0138091781477874,"Yes"
"Sema6d",217.473688682909,-3.71199495755504,0.917051708649546,-4.04774880472262,5.17126002988333e-05,0.0256650955471771,"Yes"
"Hhipl1",186.846878540604,-3.66943039579368,0.791194825671476,-4.63783416768365,3.52079087548592e-06,0.00531155313452995,"Yes"
"Ly6c1",800.619866343825,-3.51382888608225,0.864828668121645,-4.06303469762868,4.84388259849589e-05,0.0254177474266291,"Yes"
"Ly6a",1830.98640461953,-3.41363883052788,0.848334517570578,-4.02393013584277,5.723490252429e-05,0.0265680014832945,"Yes"
"Epb41l3",1739.02178275722,-3.05305407950589,0.712083409447112,-4.28749503078072,1.80699298542919e-05,0.0138091781477874,"Yes"
"Pmaip1",113.242694270694,-2.28807392451427,0.472898571268476,-4.83840312390218,1.30886464677233e-06,0.00265062986160456,"Yes"
"Rbpms2",358.942582748358,-2.21774734996136,0.528652536092648,-4.19509450640883,2.72757837552203e-05,0.0168188642466401,"Yes"
"Vcan",1755.8998081677,-2.11079345971107,0.534186561275423,-3.95141625178915,7.76900600248704e-05,0.0311049801691821,"Yes"
"Angptl2",1302.98254584092,-2.09938163899433,0.530825353100957,-3.9549385249409,7.65543337695662e-05,0.0311049801691821,"Yes"
"Tmcc3",393.475456119422,-2.05347409970695,0.465220070865191,-4.41398432335047,1.01485310933304e-05,0.0112195049892321,"Yes"
"Plau",1023.5859677632,-1.96993288834261,0.407258328434982,-4.8370597991518,1.31773793766073e-06,0.00265062986160456,"Yes"
"Mmp14",3659.89596745387,-1.92092360795227,0.446144967331097,-4.30560411662494,1.66530641745915e-05,0.0138091781477874,"Yes"
"Dennd2a",457.030457618272,-1.84802673168495,0.457288984045107,-4.04126667416651,5.31632603098374e-05,0.0256650955471771,"Yes"
"Eno3",1423.08473826313,-1.81790209359333,0.433846403042346,-4.19019745431862,2.7871181119629e-05,0.0168188642466401,"Yes"
"Adgre5",349.825235893587,-1.72703011947013,0.359578046182088,-4.8029353788623,1.56356357818553e-06,0.00269580697501731,"Yes"
"Capg",984.377420625033,-1.65826791434308,0.420377177168192,-3.94471442411253,7.98951350770276e-05,0.0311049801691821,"Yes"
"Il1r1",682.551479444006,-1.45505154848524,0.337162047854907,-4.31558521412055,1.59180630336464e-05,0.0138091781477874,"Yes"
"Gm33887",295.003020305796,-1.34758981215683,0.329826830462853,-4.08574951366366,4.39347571658545e-05,0.0241022083743045,"Yes"
"Tgfb3",864.33966349765,-1.30805910272729,0.328442814776676,-3.9826083685731,6.81630271412404e-05,0.0304688731321345,"Yes"
"Limd2",827.111005781313,-0.945514310124504,0.238617401375572,-3.96247006577827,7.4178310012827e-05,0.0311049801691821,"Yes"
"Kdm6b",1596.45435536933,-0.768497559577796,0.183270861230906,-4.19323374384951,2.75005816215257e-05,0.0168188642466401,"Yes"
"Mrpl3",2157.45730163105,0.685933295868059,0.164614967119441,4.16689507564864,3.08776531301527e-05,0.0177458283632292,"Yes"
"Gadd45b",984.689027585845,1.21915390862141,0.276305273448388,4.41234397521963,1.02257481880481e-05,0.0112195049892321,"Yes"
"Id1",2146.87185482209,1.32056759774516,0.337919475023734,3.90793575200839,9.30880509541735e-05,0.035108740217685,"Yes"
"Prdm6",240.351938335836,2.13184358847192,0.438172892210224,4.8653023187229,1.14281985347839e-06,0.00265062986160456,"Yes"
"Hapln4",45.5610245824315,2.70462765680897,0.61119759675835,4.42512809466805,9.63850735565423e-06,0.0112195049892321,"Yes"
